minimum_score,minimum_adx,minimum_rvol,stop_atr,target_r,allow_long,allow_short,starting_capital,ending_capital,net_profit,total_return_pct,trades,win_rate_pct,profit_factor,average_r,max_drawdown_pct,rank_score
90,18,1.2,1.25,2.0,True,False,10000.0,10602.13,602.13,6.02,6,66.67,3.88,0.99,-1.01,179.964
90,22,1.2,1.25,2.0,True,False,10000.0,10602.13,602.13,6.02,6,66.67,3.88,0.99,-1.01,179.964
90,25,1.2,1.25,2.0,True,False,10000.0,10602.13,602.13,6.02,6,66.67,3.88,0.99,-1.01,179.964
90,30,1.2,1.25,2.0,True,False,10000.0,10602.13,602.13,6.02,6,66.67,3.88,0.99,-1.01,179.964
80,30,1.0,1.25,2.0,True,False,10000.0,11567.38,1567.38,15.67,18,61.11,3.03,0.83,-2.0,164.212
85,30,1.0,1.25,2.0,True,False,10000.0,11567.38,1567.38,15.67,18,61.11,3.03,0.83,-2.0,164.212
80,30,1.0,1.5,1.5,True,False,10000.0,11179.05,1179.05,11.79,16,68.75,3.21,0.71,-1.99,161.89
85,30,1.0,1.5,1.5,True,False,10000.0,11179.05,1179.05,11.79,16,68.75,3.21,0.71,-1.99,161.89
75,25,1.0,1.0,1.5,True,False,10000.0,12484.88,2484.88,24.85,37,64.86,2.59,0.61,-4.46,161.06199999999998
75,25,1.2,1.0,1.5,True,False,10000.0,12484.88,2484.88,24.85,37,64.86,2.59,0.61,-4.46,161.06199999999998
75,25,1.5,1.0,1.5,True,False,10000.0,12484.88,2484.88,24.85,37,64.86,2.59,0.61,-4.46,161.06199999999998
75,30,1.0,1.0,1.5,True,False,10000.0,12484.88,2484.88,24.85,37,64.86,2.59,0.61,-4.46,161.06199999999998
75,30,1.2,1.0,1.5,True,False,10000.0,12484.88,2484.88,24.85,37,64.86,2.59,0.61,-4.46,161.06199999999998
75,30,1.5,1.0,1.5,True,False,10000.0,12484.88,2484.88,24.85,37,64.86,2.59,0.61,-4.46,161.06199999999998
75,18,1.0,1.0,1.5,True,False,10000.0,12544.09,2544.09,25.44,39,64.1,2.51,0.59,-3.05,160.29999999999998
75,18,1.2,1.0,1.5,True,False,10000.0,12544.06,2544.06,25.44,39,64.1,2.51,0.59,-3.05,160.29999999999998
75,18,1.0,1.0,2.0,True,False,10000.0,12716.1,2716.1,27.16,38,55.26,2.34,0.65,-2.97,157.302
