direction,setup_type,entry_time,exit_time,hour,entry,exit,stop,target,quantity,pnl,r_multiple,exit_reason,score,adx,rvol
LONG,BREAKOUT,2026-04-17 10:30:00,2026-04-20 09:45:00,10,647.9199,646.0737,646.0837,651.5923,54,-99.7,-1.01,STOP,85,60.73,0.0
SHORT,PULLBACK,2026-04-20 10:25:00,2026-04-20 10:50:00,10,646.395,644.1588,647.5182,644.1488,88,196.79,1.99,TARGET,85,25.72,0.51
SHORT,PULLBACK,2026-04-20 11:30:00,2026-04-20 13:20:00,11,644.6701,646.0397,646.0297,641.951,74,-101.35,-1.01,STOP,85,32.2,0.55
LONG,PULLBACK,2026-04-21 09:50:00,2026-04-21 10:10:00,9,648.12,649.873,647.2385,649.883,113,198.09,1.99,TARGET,85,24.74,0.96
LONG,BREAKOUT,2026-04-22 10:10:00,2026-04-22 15:20:00,10,651.15,654.3291,649.5555,654.3391,63,200.28,1.99,TARGET,85,28.97,0.54
LONG,PULLBACK,2026-04-24 10:35:00,2026-04-24 11:40:00,10,659.0,662.4879,657.2511,662.4979,59,205.78,1.99,TARGET,85,28.33,0.4
SHORT,PULLBACK,2026-04-28 11:00:00,2026-04-28 14:00:00,11,655.53,657.0863,657.0763,652.4374,68,-105.83,-1.01,STOP,85,44.84,0.51
LONG,PULLBACK,2026-05-01 11:10:00,2026-05-04 10:45:00,11,674.08,676.5152,672.8574,676.5252,85,207.0,1.99,TARGET,85,32.93,0.49
LONG,PULLBACK,2026-05-05 10:20:00,2026-05-06 09:30:00,10,680.87,683.4383,679.5808,683.4483,83,213.17,1.99,TARGET,85,39.13,1.0
LONG,PULLBACK,2026-05-06 10:05:00,2026-05-06 10:15:00,10,689.845,688.3348,688.3448,692.8455,72,-108.74,-1.01,STOP,85,36.19,0.65
LONG,PULLBACK,2026-05-06 10:30:00,2026-05-06 14:05:00,10,690.04,693.1468,688.4817,693.1568,69,214.37,1.99,TARGET,85,30.02,0.41
LONG,BREAKOUT,2026-05-07 09:50:00,2026-05-07 10:20:00,9,697.43,699.2062,696.5369,699.2162,123,218.47,1.99,TARGET,85,46.24,0.69
